Society Code    	Code    	Country
DP	0	Public Domain
ACUM	1	Israel
ADDAF	2	Brazil
AEPI	3	Greece
AGADU	4	Uruguay
AKM	5	Austria
BUCUDA	6	Central Afr Rep
APDAYC	7	Peru
APRA	8	Australia
ARTISJUS	9	Hungary
ASCAP	10	USA
AUSTRO-MECHANA	11	Austria
AMCOS	12	Australia
AWA	13	German Dem Rep
ARGENTORES	14	Argentina
APA	15	Paraguay
BUMDA	16	Mali
AMRA	17	USA
BGDA	18	Guinea
BMDA	19	Morocco
SODRAC	20	Canada
BMI	21	USA
MCSN	22	Nigeria
BUMA	23	Netherlands
BURIDA	24	Ivory Coast
BSDA	25	Senegal
CASH	26	Hong Kong
CAPAC	27	Canada
LITA	28	Slovakia
SCD	29	Chile
AMAR	30	Brazil
DILIA 	31	Czech Republic
FILSCAP	32	Philippines
OMDA	33	Madagascar
HARRY FOX AGENCY	34	USA
GEMA	35	German Fed Rep
IPRS	36	India
BUBEDRA	37	Benin
JASRAC	38	Japan
MUSICAUTOR	39	Bulgaria
KODA	40	Denmark
LITERAR-MECHANA	41	Austria
LVG	42	Austria
MCSK	43	Kenya
MCPS	44	United Kingdom
BBDA	45	Burkina Faso
MRS	46	United Kingdom
BCDA	47	Congo
NCB	48	Scandinavia
ONDA	49	Algeria
OSA	50	Czech Republic
PROLITTERIS	51	Switzerland
PRS	52	United Kingdom
PROCAN	53	Canada
ALCS	54	United Kingdom
SABAM	55	Belgium
SACD	56	France
SACERAU	57	Egypt
SACEM	58	France
SACM	59	Mexico
SACVEN	60	Venezuela
SADAIC	61	Argentina
SADEMBRA	62	Brazil
SAMRO	63	South Africa
SOKOJ	64	Yugoslavia
SAYCE	65	Ecuador
SBACEM	66	Brazil
SBAT	67	Brazil
SDRM	68	France
SPA	69	Portugal
SOGEM	70	Mexico
SESAC	71	USA
SGAE	72	Spain
SCAM	73	France
SIAE	74	Italy
SUISSIMAGE	75	Switzerland
ACEMLA	76	Puerto Rico
STEF	77	Iceland
STEMRA	78	Netherlands
STIM	79	Sweden
SUISA	80	Switzerland
SARRAL	81	South Africa
OTPDA	82	Tunisia
SONECA	83	Zaire
SAYCO	84	Columbia
SOZA	85	Slovakia
SICAM	86	Brazil
SPACEMF	87	French Polynesia
CMRRA	88	Canada
TEOSTO	89	Finland
TONO	90	Norway
SSA	91	Switzerland
SOCINADA	92	Cameroon Rep
UBC	93	Brazil
RAO	94	Russia
VG WORT	95	German
COTT	96	Trinidad & Tobago
ZAIKS	97	Poland
ZIMRA	98	Zimbabwe
NS	99	
SOCAN	101	Canada
NASCAM	102	Namibia
ACDAM	103	Cuba
MACP	104	Malaysia
MASA	105	Mauritius
COMPASS	106	Singapore
ACAM	107	Costa Rica
CHA	108	Taiwan
KCI	109	Indonesia
LATGA-A	110	Lithuania
HDS-ZAMP	111	Croatia
SAZAS	112	Slovenia
LAA	113	Latvia
AGAYC	114	Guatemala
UCMR-ADA	115	Romania
EAU	116	Estonia
MESAM	117	Turkey
KOMCA	118	South Korea
MCSC	119	China
LIRA	120	Netherlands
VDFS	121	Austria
AKKA/LAA	122	Latvia
COSGA	123	Ghana
COSOMA	124	Malawi
BNDA	125	Niger
MCT	126	Thailand
ALBAUTOR	127	Albania
IMRO	128	Ireland
SOBODAYCOM	129	Bolivia
BUTODRA	130	Togo
SADA	131	Greece
BILD-KUNST	132	German Federal Republic
ZAMCOPS	133	Zambia
SLPRS	134	Sri Lanka
SADH	135	Greece
ZAMP 	136	Macedonia
SOFAM	137	Belgium
KOPIOSTO	138	Finland
COPY-DAN BILLEDKUNST	139	Denmark
UACRR	140	Ukraine
ATN	141	Chile
DALRO	142	South Africa
TEATERAUTOR	143	Bulgaria
HAA	144	Croatia
DPRS	145	United Kingdom
SPAC	146	Panama
FILMAUTOR	147	Bulgaria
ADAGP	148	France
ARS	149	USA
BEELDRECHT	150	Netherlands
BONO	151	Norway
BUS	152	Sweden
DACS	153	United Kingdom
HUNGART	154	Hungary
SOMAAP	155	Mexico
VAGA	156	USA
VBK	157	Austria
VEGAP	158	Spain
VISCOPY	159	Australia
RUPIS	160	Belarus
MUST	161	Taiwan (Province Of China)
AMPAL	162	Australia
APG-JAPAN	163	Japan
APSAV	164	Peru
ATN	165	Chile
AUTORARTE	166	Venezuela
BURAFO	167	Netherlands
CAL	168	Australia
COSCAP	169	Barbados
CPSN	170	Nepal
CREAIMAGEN	171	Chile
DGA	172	United States
DIRECTORES	173	Mexico
FLIM JUS	174	Hungary
COPYRO	175	Romania
JACAP	176	Jamaica
KAZAK	177	Kazakhstan
KOSA	178	Korea Republic Of
KUVASTO	179	Finland
MUSIKEDITION	180	Austria
NMPA	181	United States
PAPPRI	182	Indonesia
SACK	183	Korea Republic Of
SARTEC	184	Canada
SESAM	185	France
SGDL	186	France
SNAC	187	France
SOCIETE DE L’IMAGE	188	France
SOCINPRO	189	Brazil
SOPE	190	Greece
SPACQ	191	Canada
SFF	192	Sweden
THE SOCIETY OF AUTHORS	193	United Kingdom
UFFICIO LEGALE	194	Holy See (Vatican City State)
VEVAM	195	Netherlands
WGA	196	United States
WGJ	197	Japan
ZAMP 	198	Slovenia
ZAPA	199	Poland
MSG	200	Turkey
ABRAMUS	201	Brazil
ASDAC	202	Moldova - Republic Of
AWGACS	203	Australia
SAS	204	Georgia
SODART	205	Canada
SUOMEN KIRJAILIJALIITTO	206	Finland
THE AUTHOR'S REGISTRY INC.	207	United States
SGA	208	Guinea-Bissau
ARMAUTHOR	209	Armenia
ACCESS	210	Canada (Formerly CANCOPY)
	211	No Longer In Use
CSCS	212	Canada
DRCC	213	Canada
HMS	214	Saint Lucia
KYRGYZPATENT	215	Kyrgyzstan
SQN	216	Bosnia And Herzegovina
ABRAC	217	Brazil
ANACIM	218	Brazil
ASSIM	219	Brazil
ATIDA	220	Brazil
SABEM	221	Brazil
FONOPERU	222	Peru
COSOTA	223	Tanzania, United Republic Of
SOMAS	224	Mozambique
SAIF	225	France
AACIMH	226	Honduras
SGACEDOM	227	Dominican Republic
ROMS	228	Russian Federation
ICG	229	United States
ADAVIS	230	Cuba
AUTVIS	231	Brazil
GESTOR	232	Czech Republic
SACEMLUXEMBOURG	233	Luxembourg
UCOSO	234	Uganda
SACENC	235	France
WID CENTRE	300	United States
GESAC	301	Belgium
LATINAUTOR	302	Uruguay
NORD-DOC	303	Sweden
SONGCODE	304	United States
IMJV	305	Netherlands
CCL	306	Trinidad And Tobago
MISASIA	307	Singapore
ECAD	308	Brazil
LATINNET	309	Spain
DIVA	310	Hong Kong
